# Region type :   patch explosionChamber
# Faces           : 37875
# Area            : 9.6770513364e+01
# Scale factor    : 1.0000000000e+00
# Time            	min(epsilon)
1.19999040008e-06 	1.2019607944e-02
2.63996505619e-06 	1.2019587140e-02
4.36794459704e-06 	1.2019562176e-02
6.44150571252e-06 	1.2019532219e-02
8.92973776977e-06 	1.2019496271e-02
1.19155270705e-05 	1.2019453135e-02
1.54983886296e-05 	1.2019401372e-02
1.97977608653e-05 	1.2019339258e-02
2.49567412781e-05 	1.2019264725e-02
3.11471343486e-05 	1.2019175290e-02
3.8575237941e-05  	1.2019067973e-02
4.74889622518e-05 	1.2018939192e-02
5.81854314247e-05 	1.2018784654e-02
7.10206446266e-05 	1.2018599216e-02
8.64213168522e-05 	1.2018376710e-02
0.000104900983155 	1.2018109717e-02
0.000127076582718 	1.2017789322e-02
0.000153689668853 	1.2017404809e-02
0.000185621962467 	1.2016943434e-02
0.000223940714803 	1.2016389773e-02
0.000269901988382 	1.2015725670e-02
0.000325035134736 	1.2014929019e-02
0.000391180227766 	1.2013973216e-02
0.000470554339401 	1.2012826206e-02
0.000565803273364 	1.2011449726e-02
0.000679970009453 	1.2009799760e-02
0.00081697009276  	1.2007819663e-02
0.00098146183158  	1.2005442025e-02
0.00117911722742  	1.2002584742e-02
0.00141611180399  	1.1999158375e-02
0.00166654421737  	1.1995537278e-02
0.00191697663075  	1.1991915687e-02
0.00216740904413  	1.1988293630e-02
0.00241784145751  	1.1984671114e-02
0.00266827387089  	1.1981048147e-02
0.00291870628428  	1.1977424737e-02
0.00316913869766  	1.1973800923e-02
0.00341957111104  	1.1970176649e-02
0.00367000352442  	1.1966551954e-02
0.0039204359378   	1.1962926845e-02
0.00417086835118  	1.1959301331e-02
0.00442130076456  	1.1955675418e-02
0.00467173317795  	1.1952049166e-02
0.00492216559133  	1.1948422478e-02
0.00517259800471  	1.1944795412e-02
0.00542303041809  	1.1941167977e-02
0.00567346283147  	1.1937540180e-02
0.00592389524485  	1.1933912027e-02
0.00617432765824  	1.1930283525e-02
0.00642476007162  	1.1926654682e-02
0.006675192485    	1.1923025505e-02
0.00692562489838  	1.1919396000e-02
0.00717605731176  	1.1915766173e-02
0.00742648972514  	1.1912136121e-02
0.00767692213852  	1.1908505670e-02
0.00792735455191  	1.1904874917e-02
0.00817778696529  	1.1901243672e-02
0.00842821937867  	1.1897612519e-02
0.00867865179205  	1.1893980884e-02
